nome,data,alta,baixa,abertura,fechamento,volume,capitalizacao_de_mercado,valorizacao,ano,dia_semana,retorno_acumulado,mudanca_preco
Litecoin,2019-08-06,98.9756192838,91.660183004,96.8895988002,93.0697157826,3245339849,5861986121,-3.819883017600006,2019,Terça-feira,20.229889429007255,-0.03888004079115692
Litecoin,2019-08-07,93.7389792461,88.540722247,93.0388740966,90.9125986794,3105989436,5726708990,-2.1262754171999916,2019,Quarta-feira,19.73783508886799,-0.02317743301418007
Litecoin,2019-08-08,91.7223263634,88.4997045209,90.9115641502,90.0316084005,3034717882,5671748769,-0.8799557496999881,2019,Quinta-feira,19.53687470071374,-0.009690519154630928
Litecoin,2019-08-09,90.3570677727,83.4851465181,90.0891976762,84.4393774067,3003278177,5319984195,-5.6498202694999975,2019,Sexta-feira,18.261245516058622,-0.062114085187985446
Litecoin,2019-08-10,87.1141705859,83.1360326492,84.3909948785,85.4194762795,3088060147,5382272086,1.0284814010000076,2019,Sábado,18.484813306333628,0.01160713049883566
Litecoin,2019-08-11,91.0313544593,85.4461187756,85.450751686,89.7526674359,3025787942,5655924170,4.30191574989999,2019,Domingo,19.47324620689184,0.05072837419678633
Litecoin,2019-08-12,89.708680241,85.6308220314,89.7023886582,85.7492298819,2716187719,5404272824,-3.9531587762999862,2019,Segunda-feira,18.560032538055808,-0.04460522086275798
Litecoin,2019-08-13,86.3235334052,83.347240755,85.7464282847,84.4061440474,2681787838,5320229477,-1.340284237299997,2019,Terça-feira,18.253664741395664,-0.015662949234060752
Litecoin,2019-08-14,85.5505132652,75.9618572901,84.4203493571,76.0649859941,3093090406,4794992635,-8.355363362999995,2019,Quarta-feira,16.350984995439685,-0.09882169298737131
Litecoin,2019-08-15,78.5077046077,72.9977769491,76.133269541,76.3889783029,3654075558,4815969361,0.2557087618999958,2019,Quinta-feira,16.42489003354832,0.00425941455934975
Litecoin,2019-08-16,77.1697721227,73.0685248537,76.3152467724,74.9201538873,3016089036,4723824771,-1.3950928850999986,2019,Sexta-feira,16.08984033804206,-0.019228224388284976
Litecoin,2019-08-17,75.3306545602,72.2696902953,74.9050894123,72.7977220768,2482385549,4590467351,-2.107367335500001,2019,Sábado,15.605697969295868,-0.0283292505470919
Litecoin,2019-08-18,77.5582787512,71.6690862545,72.8395956325,76.2699484391,2743241606,4809876077,3.4303528066000126,2019,Domingo,16.397738442657825,0.04769690950819694
Litecoin,2019-08-19,78.5080245616,75.8813486148,76.3371085513,77.2631905343,2346796021,4873084523,0.9260819829999889,2019,Segunda-feira,16.62430429901637,0.01302271884965367
Litecoin,2019-08-20,77.4420282054,73.9419303343,77.2983865879,75.1965663598,2430165429,4743207580,-2.101820228099996,2019,Terça-feira,16.152892064144684,-0.026747849269601942
Litecoin,2019-08-21,75.4650743576,70.5821101147,75.2442747135,72.9649534092,2878567011,4602987629,-2.279321304299998,2019,Quarta-feira,15.643844671110353,-0.029677059188077726
Litecoin,2019-08-22,74.5710150457,71.3090197387,72.9507682337,73.5985957813,2908864703,4643456772,0.6478275476000022,2019,Quinta-feira,15.788383175220966,0.008684201695386973
Litecoin,2019-08-23,75.692844921,72.8689594738,73.5773281737,75.4028134995,2496513401,4757819433,1.8254853258000026,2019,Sexta-feira,16.19993855971052,0.024514295402608965
Litecoin,2019-08-24,75.6932170151,72.3201457234,75.4078073409,73.4636165112,2191973575,4636016950,-1.9441908297000055,2019,Sábado,15.757593406977502,-0.02571783330489197
